,host_name,host_since,host_neighbourhood,property_type,room_type,price
0,Chas.,2008-09-16,Hollywood,Private room in rental unit,Private room,$110.00
1,Louise-Diane,2008-09-17,Santa Monica,Private room in rental unit,Private room,$118.00
2,Bernadine,2008-09-25,Bellflower,Entire rental unit,Entire home/apt,
3,Sarah,2009-03-28,Woodland Hills/Warner Center,Entire bungalow,Entire home/apt,
4,Chas.,2008-09-16,Hollywood,Private room in rental unit,Private room,$114.00
5,Henry,2009-06-15,Bellflower,Private room in home,Private room,$65.00
6,Sherree Strong,2009-06-20,Pico - Robertson,Private room in rental unit,Private room,$81.00
7,Anahita,2011-10-27,Hollywood,Entire rental unit,Entire home/apt,$112.00
8,Anahita,2011-10-27,Hollywood,Entire rental unit,Entire home/apt,$190.00
9,Bo,2011-10-04,Silver Lake,Private room in home,Private room,$86.00
10,Rich,2010-11-06,Silver Lake,Entire rental unit,Entire home/apt,
11,Shannah,2011-10-30,West Hollywood,Entire townhouse,Entire home/apt,$193.00
12,Steve,2011-03-24,Hollywood Hills,Entire home,Entire home/apt,$825.00
13,Dwayne,2011-11-02,Highland Park,Entire rental unit,Entire home/apt,$99.00
14,Wendell,2009-07-29,Long Beach,Private room in loft,Private room,
15,Cristina,2009-08-07,Venice,Private room in rental unit,Private room,$90.00
16,Wendy,2009-08-12,Redondo Beach,Private room in home,Private room,
17,Pascalou,2009-08-08,Venice,Entire bungalow,Entire home/apt,$86.00
18,Wendy,2009-08-12,Redondo Beach,Entire guesthouse,Entire home/apt,$174.00
19,Henry,2009-11-18,Hollywood Hills,Entire rental unit,Entire home/apt,$221.00
20,Charlene,2011-03-07,Silver Lake,Entire rental unit,Entire home/apt,$117.00
21,JoyAnne,2011-04-01,West Hollywood,Private room in home,Private room,
22,Corbin,2011-04-02,Westchester/Playa Del Rey,Entire home,Entire home/apt,$112.00
23,Cheryl Francis,2011-04-07,Mid-City,Entire home,Entire home/apt,$105.00
24,Julie,2011-04-15,Woodland Hills/Warner Center,Private room in home,Private room,$59.00
25,Andy,2010-08-08,Lynwood,Room in hotel,Private room,$99.00
26,Dan,2011-04-18,Studio City,Entire home,Entire home/apt,$900.00
27,Danny,2011-04-24,Westlake,Entire rental unit,Entire home/apt,$557.00
28,Maiana,2011-04-24,Echo Park,Entire rental unit,Entire home/apt,$150.00
29,Dean,2011-05-02,Carson,Entire guesthouse,Entire home/apt,$82.00
30,Wendy,2009-08-12,Redondo Beach,Entire guesthouse,Entire home/apt,$176.00
31,Antoinette,2011-11-03,Pasadena,Entire home,Entire home/apt,$350.00
32,Deanna,2011-11-06,,Private room in farm stay,Private room,
33,Lisa,2011-11-12,Hollywood Hills,Private room in rental unit,Private room,
34,David,2011-10-04,Redondo Beach,Private room in townhouse,Private room,$72.00
35,Gabriela,2011-11-21,Venice,Entire guesthouse,Entire home/apt,$130.00
36,Lizzie,2011-11-28,Marina Del Rey,Entire bungalow,Entire home/apt,$232.00
37,Helen,2011-08-20,Venice,Entire rental unit,Entire home/apt,
38,Vanessa,2011-01-31,Mar Vista,Private room in rental unit,Private room,
39,Amiela,2011-12-02,West Rancho Dominguez,Shared room in home,Shared room,
40,Josh,2009-12-01,Mid-City,Entire bungalow,Entire home/apt,$172.00
