,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1,2732,https://www.airbnb.com/rooms/2732,20250617032927,2025-06-17,city scrape,Zen Life at the Beach,An oasis of tranquility awaits you.,"This is the best part of Santa Monica. Quiet, calm, safe.",https://a0.muscache.com/pictures/1082993/c5a9956f_original.jpg,3041,https://www.airbnb.com/users/show/3041,Louise-Diane,2008-09-17,"Santa Monica, CA","I have been teaching yoga and meditation for 30 years.
World-traveled,passionate,love life and committed to making the world a healthier place one person and one company at a time. Enjoy meeting new and interesting people.",within a few hours,100%,50%,f,https://a0.muscache.com/im/users/3041/profile_pic/1331080494/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3041/profile_pic/1331080494/original.jpg?aki_policy=profile_x_medium,Santa Monica,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Santa Monica,Other Cities,34.0044,-118.48095,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Host greets you"", ""Free street parking"", ""Refrigerator"", ""Essentials"", ""Washer"", ""Microwave"", ""Oven"", ""Hair dryer"", ""Heating"", ""Private patio or balcony"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Dedicated workspace"", ""Cooking basics"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Wifi""]",$118.00,7,27,7,7,27,27,7.0,27.0,,t,0,14,44,319,2025-06-17,24,0,0,152,0,0,0.0,2011-06-06,2022-08-21,4.41,4.26,4.58,4.39,4.48,4.91,4.22,228269,f,2,1,1,0,0.14
50,131557,https://www.airbnb.com/rooms/131557,20250617032927,2025-06-18,city scrape,sweet little apt,"The heart of Echo Park, walking distance to buses and many activities.  Only apartment on this side of the building so it feels very private.  Feathertop double bed, 52"" tv with basic tv, HI speed internet.  Extra room with futon double bed.<br />*If you would like  to rent for less than 30 nights please contact me directly at phoebelucie at the server that starts with a G",,https://a0.muscache.com/pictures/103231642/bd1b170e_original.jpg,78804,https://www.airbnb.com/users/show/78804,Sophie,2010-02-08,"Los Angeles, CA"," I am an Angeleno native with Scandinavian roots, a seasoned traveler, adventurer, sometime photographer and film maker.  I love Echo Park.  I have lived in or near it for close to 20 years.

",within a few hours,100%,43%,f,https://a0.muscache.com/im/pictures/user/fde28de6-c220-4b4d-9de1-52b0297ad0eb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fde28de6-c220-4b4d-9de1-52b0297ad0eb.jpg?aki_policy=profile_x_medium,Echo Park,3.0,9.0,"['email', 'phone']",t,t,,Echo Park,City of Los Angeles,34.08023,-118.25646,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Essentials"", ""TV"", ""City skyline view"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Hot water"", ""Mountain view"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Dedicated workspace"", ""Cooking basics"", ""Shampoo"", ""Dryer"", ""Bed linens"", ""Kitchen"", ""Wifi"", ""Lockbox""]",$119.00,30,365,30,30,365,365,30.0,365.0,,t,0,0,0,173,2025-06-18,81,0,0,5,0,0,0.0,2011-07-28,2022-08-31,4.7,4.74,4.74,4.79,4.83,4.66,4.59,,f,3,3,0,0,0.48
100,20585,https://www.airbnb.com/rooms/20585,20250617032927,2025-06-17,city scrape,"Private Studio, 6 Doors to Beach","One room guest unit, with kitchen*. Separate entrance, detached from our house. 6 doors from the beach, 1 block from the Venice pier. The studio is very small, efficient, usually quiet & comfortable for 1 or 2. Shower is tight. Queen 14"" microfoam mattress. There is NO parking space, and parking can be hard to find.<br /><br />We are very careful about COVID 19 & disinfect to Airbnb pandemic standards. No smoking or vaping on the property, indoors or out.<br /><br />See Note below for an important change.","This is a friendly neighborhood. Our street is one block long. Permanent residents all know and watch out for each other, each others' pets and children. That said, Venice has its share of travelers and those who sleep outdoors; for the most part don't bother them and they won't bother you. It has ALWAYS been that way in Venice. We are 1/2 block from the sand, the Venice Pier, coffee shops, bike rentals and local shops. Parking is tough, but no worse than in NY, San Francisco, Rome or Paris. Venice is the main public beach for all of Los Angeles; a city of 4 million people. You may need to walk a bit to get to your car.",https://a0.muscache.com/pictures/106212/f24db269_original.jpg,77857,https://www.airbnb.com/users/show/77857,Barbara,2010-02-05,"Los Angeles, CA","We are both artists who live in the house in front of the rental. I am from DC/MD; attended Georgetown & UCLA (many years ago!). Husband is from Manhattan Beach, attended UCSB & Cornell & retired from teaching at USC. We live California but travel near and far often. Our apartment is for friends, family, foreign exchanges & Airbnb rentals. It is an extension of our home, albeit a very private one, & hope that visitors also feel at home.",within an hour,100%,17%,f,https://a0.muscache.com/im/pictures/user/User-77857/original/d8ba411f-16ab-430f-8e60-2bb3bbe62a7f.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-77857/original/d8ba411f-16ab-430f-8e60-2bb3bbe62a7f.jpeg?aki_policy=profile_x_medium,Venice,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Venice,City of Los Angeles,33.98047,-118.46514,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""33 inch HDTV with Netflix, standard cable"", ""Refrigerator"", ""Essentials"", ""Drying rack for clothing"", ""Hot water kettle"", ""Ceiling fan"", ""Fire extinguisher"", ""Microwave"", ""Oven"", ""Hot water"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Shower gel"", ""Keypad"", ""Iron"", ""Toaster"", ""Beach access \u2013 Beachfront"", ""Hangers"", ""Dining table"", ""Wine glasses"", ""Dishes and silverware"", ""Self check-in"", ""Cooking basics"", ""Single level home"", ""Shampoo"", ""Clothing storage: closet"", ""Beach essentials"", ""Bed linens"", ""AC - split type ductless system"", ""Kitchen"", ""Conditioner"", ""Private entrance"", ""Freezer"", ""Wifi"", ""Central heating"", ""Body soap""]",$140.00,3,7,3,3,7,7,3.0,7.0,,t,0,0,24,24,2025-06-17,583,4,0,24,10,24,3360.0,2010-03-25,2024-10-07,4.92,4.95,4.93,4.95,4.97,4.89,4.84,HSR24-001527,f,1,1,0,0,3.14
101,183319,https://www.airbnb.com/rooms/183319,20250617032927,2025-06-17,city scrape,Panoramic Ocean View Venice Beach,Craftsmen style penthouse with ocean view from all rooms. Park ave location is center of idyllic Venice walk street neighborhood.,About as close to the beach as you can live in Venice with out being on the boardwalk.,https://a0.muscache.com/pictures/1170205/e259632f_original.jpg,867995,https://www.airbnb.com/users/show/867995,Barbara X,2011-07-25,"Los Angeles, CA",Serious yoga practice.  Been studying for 25 years.  Spend  three months in Thailand for the last twelve years as I have built a house with my son on an island in the South of Thailand.  Been in involved in fine art all my life.  Have worked as a designer helping people remodel homes. ,a few days or more,0%,,f,https://a0.muscache.com/im/users/867995/profile_pic/1311864420/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/867995/profile_pic/1311864420/original.jpg?aki_policy=profile_x_medium,Venice,2.0,3.0,"['email', 'phone']",t,f,Neighborhood highlights,Venice,City of Los Angeles,33.99211,-118.476,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Baking sheet"", ""Books and reading material"", ""TV"", ""Hot water kettle"", ""Fire extinguisher"", ""Microwave"", ""Oven"", ""Patio or balcony"", ""Hot water"", ""Cleaning products"", ""Sound system"", ""Coffee maker"", ""Heating"", ""Iron"", ""Toaster"", ""Hangers"", ""Wine glasses"", ""Dishes and silverware"", ""Smoke alarm"", ""Bathtub"", ""Cooking basics"", ""Bed linens"", ""Kitchen"", ""Long term stays allowed"", ""Blender"", ""Freezer"", ""Wifi"", ""Rice maker"", ""Body soap""]",$85.00,89,89,89,89,89,89,89.0,89.0,,t,29,59,89,179,2025-06-17,3,0,0,179,0,0,0.0,2012-03-11,2019-02-25,5.0,4.67,4.67,5.0,5.0,5.0,5.0,,f,2,2,0,0,0.02
102,188081,https://www.airbnb.com/rooms/188081,20250617032927,2025-06-17,previous scrape,Griffith Park Home - Available Summer 2018,Amazing Private Street on the Oaks. Steps from Griffith Park and easy access to Los Feliz Village Freeways etc.,,https://a0.muscache.com/pictures/8725212/64d8c455_original.jpg,905689,https://www.airbnb.com/users/show/905689,Daniel,2011-08-01,"Los Angeles, CA",easy going landlord,,,,f,https://a0.muscache.com/im/users/905689/profile_pic/1372712880/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/905689/profile_pic/1372712880/original.jpg?aki_policy=profile_x_medium,Hollywood Hills,2.0,2.0,"['email', 'phone']",t,f,,Hollywood Hills,City of Los Angeles,34.11088,-118.30782,Entire home,Entire home/apt,5,,2.5 baths,5.0,,"[""Heating"", ""Washer"", ""Dryer"", ""Free parking on premises"", ""Wifi"", ""TV with standard cable""]",,30,60,30,30,60,60,30.0,60.0,,,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,2,1,1,0,
103,190160,https://www.airbnb.com/rooms/190160,20250617032927,2025-06-17,city scrape,Guest Room in Echo Park Townhouse,"Roomy guest bedroom (double bed) in 2 story 2 bedroom townhouse with private bath. This is a guest room in the condo where I also live, but I have happily hosted many people and there are few issues with shared spaces! Nestled in the fantastic Angeleno Heights suburb of Echo Park. Walk to DODGER STADIUM, Sunset Blvd restaurants, cafes, pubs, and more! 10 min to downtown, very close to 101 frwy. Everything you need at your fingertips!","The coolest neighborhood in LA - like little Brooklyn! Artsy, not entirely gentrified (but getting there!), freeway friendly, super close to Downtown, great restaurants and cafes, and locally owned stores.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTkwMTYw/original/deef3695-a793-4a85-90d5-0050ae59065e.jpeg,476379,https://www.airbnb.com/users/show/476379,Lisa,2011-04-01,"Los Angeles, CA","I adore travel and meeting people from all over the world. I have welcomed too many wonderful AIRBNB tenants to count, was a SUPER HOST for my LA property and count several former guests as my friends ! Now I have an additional rental property in Tulum Mexico and look forward to hosting you there!",within an hour,100%,88%,t,https://a0.muscache.com/im/pictures/user/7a683db4-96f2-4ebe-985b-e0df167f24c9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/7a683db4-96f2-4ebe-985b-e0df167f24c9.jpg?aki_policy=profile_x_medium,Echo Park,2.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Echo Park,City of Los Angeles,34.07098,-118.25078,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Stove"", ""Free street parking"", ""Refrigerator"", ""First aid kit"", ""Essentials"", ""Free parking on premises"", ""Washer"", ""Air conditioning"", ""Microwave"", ""Oven"", ""Patio or balcony"", ""Hot water"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Lake access"", ""Indoor fireplace"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Cooking basics"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Lockbox""]",$68.00,30,300,30,30,300,300,30.0,300.0,,t,9,17,18,198,2025-06-17,40,1,0,126,0,60,4080.0,2013-06-22,2025-02-01,4.77,4.9,4.6,4.93,4.82,4.9,4.78,HSR19-000763,f,1,0,1,0,0.27
104,191733,https://www.airbnb.com/rooms/191733,20250617032927,2025-06-18,city scrape,Private Spanish Guest House : Casa Bougainvillea,"Newly remodeled guesthouse in our lush compound offers the perfect walk-friendly central location to Atwater Village, paired with the serenity of a private, detached dwelling.  Ideal for  single professional, couple or grandparents visiting family locally.","We love Atwater because it is so pedestrian-friendly and bike-happy (flat terrain with awesome weather) so that you can pretty much get yourself anywhere, especially to our fabulous LA River, our world class coffee/bakeries, farmers market (Sundays), acclaimed breweries, award winning restaurants and uber groovy stores.",https://a0.muscache.com/pictures/miso/Hosting-191733/original/8c138c5c-5711-452b-b264-b538250b96c3.jpeg,1597048,https://www.airbnb.com/users/show/1597048,Shelli-Anne,2012-01-11,"Los Angeles, CA","I'm an Australian expat of 25+ years,  'Atwater Villager of the Year' and Congressional local  'Woman of the Year' so am pretty well versed about our fabulous neighborhood! Recently I co-founded nn adventure tour company called ""E Bike Tours LA"" offering guided, small group tours on luxury e-bikes. All rides start and finish right here in our awesome Atwater Village.",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/d1a1b42e-1769-4741-914f-c51aae621d56.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d1a1b42e-1769-4741-914f-c51aae621d56.jpg?aki_policy=profile_x_medium,Atwater Village,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Atwater Village,City of Los Angeles,34.11365,-118.25162,Entire guesthouse,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Haier Double French Doors refrigerator"", ""Extra pillows and blankets"", ""Coffee"", ""BBQ grill: gas"", ""Free street parking"", ""Baking sheet"", ""First aid kit"", ""Essentials"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Free washer \u2013 In building"", ""Books and reading material"", ""Ethernet connection"", ""Hot water kettle"", ""Ceiling fan"", ""Fire extinguisher"", ""Crib"", ""Portable fans"", ""Microwave"", ""Coffee maker: french press"", ""Bikes"", ""Hot water"", ""Laundromat nearby"", ""Cleaning products"", ""Hammock"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Shower gel"", ""Heating"", ""TV with Apple TV, Hulu, Netflix"", ""Carbon monoxide alarm"", ""Keypad"", ""Trash compactor"", ""Cleaning available during stay"", ""Room-darkening shades"", ""Iron"", ""Stainless steel single oven"", ""Toaster"", ""Free driveway parking on premises \u2013 1 space"", ""Free dryer \u2013 In building"", ""Hangers"", ""Barbecue utensils"", ""Dining table"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Wine glasses"", ""Dishes and silverware"", ""Smoke alarm"", ""Stainless steel gas stove"", ""Fire pit"", ""Self check-in"", ""Dedicated workspace"", ""Cooking basics"", ""Bed linens"", ""AC - split type ductless system"", ""Kitchen"", ""Long term stays allowed"", ""Blender"", ""Babysitter recommendations"", ""Freezer"", ""Wifi"", ""Rice maker"", ""Body soap""]",$120.00,30,730,30,30,1125,1125,30.0,1125.0,,t,0,2,24,299,2025-06-18,91,1,0,131,1,60,7200.0,2011-09-20,2024-08-25,4.89,4.9,4.91,4.94,4.99,4.83,4.83,,f,1,1,0,0,0.54
105,194809,https://www.airbnb.com/rooms/194809,20250617032927,2025-06-17,previous scrape,Large 1 BR Culver City Peaceful Getaway!,"Awesome place in Culver City. Just minutes from Downtown LA, Santa Monica, Beverly Hills, Venice Beach, Hollywood ... 5 minute walk to the Metro Expo line and public transportation, Ralph's grocery store, Coffee Bean, and the gym... Easy 10-minute walk to great hip restaurants, bars, nightlife in downtown Culver City & Sony Pictures. You would have the entire apartment. Our tenants have loved this place. It's simply furnished (Ikea style) and is a great place if you want quiet.","Culver City is a nice central area with great restaurants, coffee shops, and  art galleries.",https://a0.muscache.com/pictures/90d5be42-4c18-4259-9775-b260ec263f39.jpg,946246,https://www.airbnb.com/users/show/946246,Michelle,2011-08-09,"Los Angeles, CA","I'm a video marketing strategist, on-camera coach and producer. I am clean, considerate and respectful of the spaces I'm in.",,,,f,https://a0.muscache.com/im/users/946246/profile_pic/1333669202/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/946246/profile_pic/1333669202/original.jpg?aki_policy=profile_x_medium,Palms,1.0,4.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Palms,City of Los Angeles,34.0238,-118.40512,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""TV"", ""Heating"", ""Dishes and silverware"", ""Washer"", ""Dryer"", ""Refrigerator"", ""Iron"", ""Air conditioning"", ""Kitchen"", ""Free parking on premises"", ""Hangers"", ""Wifi"", ""Lockbox"", ""Hair dryer"", ""Self check-in""]",,30,186,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,22,0,0,0,0,0,,2011-10-02,2019-11-12,4.4,4.43,4.24,4.57,4.81,4.67,4.52,,t,1,1,0,0,0.13
106,195229,https://www.airbnb.com/rooms/195229,20250617032927,2025-06-18,city scrape,"Great West L.A. location, near much",,"This is a residential neighborhood with single family homes.  It has stores, cafes, banks and Starbucks nearby.",https://a0.muscache.com/pictures/6911966/b18f3866_original.jpg,393829,https://www.airbnb.com/users/show/393829,Debra,2011-02-15,"Los Angeles, CA","Hi,
I am interested in hosting nice people. I like to make my guests feel at home. This house has a large back yard, and my guests are welcome to sit outside on the patios or on the grass. We are withing walking distance to Whole Foods, Champagne Bakery, Jamba Juice, and many other markets. Westwood, Santa Monica, Beverly Hills, Marina del Rey are within 15 minutes drive. We are near the 405 and 10 freeways. I serve a continental breakfast; juice, coffee, bagel or muffin and fresh fruit.",,,,f,https://a0.muscache.com/im/users/393829/profile_pic/1312953082/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/393829/profile_pic/1312953082/original.jpg?aki_policy=profile_x_medium,Mar Vista,1.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Mar Vista,City of Los Angeles,34.02035,-118.43428,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Host greets you"", ""Washer"", ""Carbon monoxide alarm"", ""Dryer"", ""Wifi"", ""Free street parking"", ""Iron"", ""Luggage dropoff allowed"", ""Bed linens"", ""Essentials"", ""Hangers"", ""Hot water"", ""TV with standard cable"", ""Hair dryer"", ""Smoke alarm""]",$129.00,30,31,30,30,31,31,30.0,31.0,,t,30,60,90,365,2025-06-18,38,0,0,197,0,0,0.0,2012-08-20,2022-04-23,4.92,4.97,4.92,5.0,4.97,4.89,4.89,HSR21-001488,f,1,0,1,0,0.24
107,196410,https://www.airbnb.com/rooms/196410,20250617032927,2025-06-18,city scrape,Little villa Apartment,"Adorable apt in heart of Echo Park, peaceful, inspiring, <br />walking distance to many shops and Sunset blvd.  Please read complete listing before booking.",,https://a0.muscache.com/pictures/miso/Hosting-196410/original/ec4eb37f-4fae-4cfa-b1f6-5ecc6c21df7d.jpeg,78804,https://www.airbnb.com/users/show/78804,Sophie,2010-02-08,"Los Angeles, CA"," I am an Angeleno native with Scandinavian roots, a seasoned traveler, adventurer, sometime photographer and film maker.  I love Echo Park.  I have lived in or near it for close to 20 years.

",within a few hours,100%,43%,f,https://a0.muscache.com/im/pictures/user/fde28de6-c220-4b4d-9de1-52b0297ad0eb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fde28de6-c220-4b4d-9de1-52b0297ad0eb.jpg?aki_policy=profile_x_medium,Echo Park,3.0,9.0,"['email', 'phone']",t,t,,Echo Park,City of Los Angeles,34.08187,-118.25663,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Free street parking"", ""Refrigerator"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Oven"", ""Patio or balcony"", ""Hot water"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Dishes and silverware"", ""Smoke alarm"", ""Dedicated workspace"", ""Cooking basics"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",$114.00,30,365,30,30,365,365,30.0,365.0,,t,10,30,60,270,2025-06-18,60,0,0,167,0,0,0.0,2011-10-27,2022-08-25,4.78,4.81,4.56,4.77,4.88,4.72,4.47,,f,3,3,0,0,0.36
