,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
125,76111,"Los Angeles, CA",,3.0,"[""Stove"", ""Extra pillows and blankets"", ""Host greets you"", ""Refrigerator"", ""First aid kit"", ""Essentials"", ""Free parking on premises"", ""Dishwasher"", ""Ethernet connection"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Microwave"", ""Backyard"", ""Oven"", ""Patio or balcony"", ""Hot water"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Indoor fireplace"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Dryer"", ""Bed linens"", ""Kitchen"", ""Long term stays allowed"", ""Private entrance"", ""Wifi""]",4.64
252,3393312,"Los Angeles, CA",100%,1.0,"[""Free street parking"", ""Refrigerator"", ""First aid kit"", ""Shared patio or balcony"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Private pool"", ""Exterior security cameras on property"", ""BBQ grill"", ""Washer"", ""Private backyard \u2013 Fully fenced"", ""Fire extinguisher"", ""Children\u2019s books and toys"", ""Microwave"", ""Free dryer \u2013 In unit"", ""Pack \u2019n play/Travel crib"", ""Hot water"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Heating"", ""Carbon monoxide alarm"", ""Keypad"", ""Central air conditioning"", ""Iron"", ""Outdoor dining area"", ""Hangers"", ""Smoking allowed"", ""Dishes and silverware"", ""Smoke alarm"", ""Breakfast"", ""Self check-in"", ""Dedicated workspace"", ""Single level home"", ""Shampoo"", ""HDTV with Amazon Prime Video"", ""Wifi""]",4.91
300,2122283,"Los Angeles, CA",,1.0,"[""BBQ grill"", ""Heating"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free parking on premises"", ""Wifi"", ""TV with standard cable""]",5.0
301,1678136,"São Paulo, Brazil",0%,4.0,"[""Heating"", ""Pets allowed"", ""Washer"", ""Shampoo"", ""Dryer"", ""Hot tub"", ""Air conditioning"", ""Fire extinguisher"", ""Kitchen"", ""Essentials"", ""Free parking on premises"", ""Wifi"", ""Indoor fireplace"", ""TV with standard cable"", ""Smoke alarm""]",4.43
302,309512,"Los Angeles, CA",95%,1.0,"[""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Dishwasher"", ""Books and reading material"", ""Ethernet connection"", ""Bidet"", ""City skyline view"", ""Washer"", ""Hot water kettle"", ""Clothing storage: wardrobe and dresser"", ""Ceiling fan"", ""Fire extinguisher"", ""32 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Roku, DVD player"", ""Portable fans"", ""Microwave"", ""Patio or balcony"", ""Hot water"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Mountain view"", ""Sound system"", ""Hair dryer"", ""Coffee maker"", ""Shower gel"", ""Heating"", ""Piano"", ""Park view"", ""Room-darkening shades"", ""Iron"", ""Toaster"", ""Outdoor dining area"", ""Barbecue utensils"", ""Hangers"", ""Dining table"", ""Garden view"", ""Dishes and silverware"", ""Dedicated workspace"", ""Cooking basics"", ""Shampoo"", ""Gas stove"", ""Dryer"", ""Double oven"", ""Bed linens"", ""AC - split type ductless system"", ""Kitchen"", ""Conditioner"", ""Blender"", ""Sun loungers"", ""Freezer"", ""Wifi"", ""Body soap""]",4.89
303,285079,"Los Angeles, CA",0%,2.0,"[""TV"", ""Heating"", ""BBQ grill"", ""Pets allowed"", ""Washer"", ""City skyline view"", ""Dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Kitchen"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free parking on premises"", ""Wifi"", ""Indoor fireplace"", ""Garden view"", ""Mountain view"", ""Smoke alarm""]",5.0
304,210344,"Culver City, CA",93%,1.0,"[""Stove"", ""Extra pillows and blankets"", ""Coffee"", ""Free street parking"", ""Refrigerator"", ""Baking sheet"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Exterior security cameras on property"", ""BBQ grill"", ""Hot tub"", ""Hot water kettle"", ""Air conditioning"", ""Crib"", ""Microwave"", ""Backyard"", ""Oven"", ""Patio or balcony"", ""Hot water"", ""Laundromat nearby"", ""Hammock"", ""Hair dryer"", ""Coffee maker"", ""Shower gel"", ""Heating"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Iron"", ""Toaster"", ""Outdoor dining area"", ""Hangers"", ""Fire pit"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Wine glasses"", ""Dishes and silverware"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Clothing storage: closet"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Long term stays allowed"", ""Blender"", ""TV with DVD player, Netflix, Amazon Prime Video, Apple TV, Hulu"", ""Wifi"", ""Body soap""]",4.86
305,25059292,"Los Angeles, CA",,,"[""Stove"", ""Refrigerator"", ""First aid kit"", ""Essentials"", ""TV"", ""Washer"", ""Fire extinguisher"", ""Oven"", ""Hot water"", ""Carbon monoxide alarm"", ""Iron"", ""Dishes and silverware"", ""Smoke alarm"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Single level home"", ""Dryer"", ""Kitchen"", ""Wifi""]",5.0
306,8585179,"Santa Monica, CA",,,"[""Heating"", ""Washer"", ""Carbon monoxide alarm"", ""Dryer"", ""Iron"", ""First aid kit"", ""Fire extinguisher"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Smoke alarm""]",4.96
307,2734581,"Los Angeles, CA",0%,1.5,"[""Heating"", ""Washer"", ""Shampoo"", ""Dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Iron"", ""Air conditioning"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Hair dryer"", ""Smoke alarm"", ""Self check-in""]",4.76
308,2742282,"Hermosa Beach, CA",100%,3.5,"[""HDTV with Disney+, Roku, Netflix, Hulu, Amazon Prime Video, Apple TV, standard cable, HBO Max"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Paid parking off premises"", ""Beach view"", ""Essentials"", ""Outdoor playground"", ""Outdoor furniture"", ""Free parking on premises"", ""Paid parking on premises"", ""Exterior security cameras on property"", ""Paid resort access"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Housekeeping - available at extra cost"", ""Pets allowed"", ""City skyline view"", ""Hot water kettle"", ""Ceiling fan"", ""Fire extinguisher"", ""Portable fans"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Mini fridge"", ""Waterfront"", ""Hot water"", ""Laundromat nearby"", ""Bikes"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Sea view"", ""Clothing storage"", ""Heating"", ""Carbon monoxide alarm"", ""Indoor fireplace: wood-burning"", ""Toaster"", ""Private entrance"", ""Outdoor dining area"", ""Beach access \u2013 Beachfront"", ""Private patio or balcony"", ""Ocean view"", ""Dining table"", ""Fire pit"", ""Dishes and silverware"", ""Smoke alarm"", ""Stainless steel gas stove"", ""Self check-in"", ""Cooking basics"", ""Shampoo"", ""Beach essentials"", ""Bed linens"", ""Kitchen"", ""Coffee maker: drip coffee maker, Keurig coffee machine, pour-over coffee"", ""Long term stays allowed"", ""Sun loungers"", ""Fast wifi \u2013 163 Mbps"", ""Babysitter recommendations"", ""Lockbox"", ""Body soap""]",4.66
